EnsemblID	patMutRate	matMutRate	pat_quant	mat_quant	male_CPM_log2geoMean	female_CPM_log2geoMean
ENSG00000143382	0	0	1	2	0.458960412509862	1.05745441221101
ENSG00000185761	0	0.000116877045348294	2	2	0.877450568419066	0.884948560314735
ENSG00000105963	7.4703520403399e-05	0	1	1	0.226806074856298	0.499933781412575
ENSG00000184060	0	0	2	1	0.846570569232588	0.779938322123708
ENSG00000160710	4.3232960809321e-05	0	4	4	5.83293248490077	5.48995056684602
ENSG00000197381	3.9405243524405e-05	6.56754058740083e-06	2	3	1.912870873093	3.22856704788659
ENSG00000185736	6.75878093512301e-05	1.4613580400266e-05	1	1	0.162623567273337	0.738157187845216
ENSG00000065457	0	7.57317581127646e-05	3	3	4.51099323255721	3.35066551129413
ENSG00000189007	3.59014863215337e-05	0	3	3	2.86914377739442	2.9252784040116
ENSG00000213638	0.000124285359184688	0	3	2	2.6338167102545	2.3461644561771
ENSG00000063761	3.7123658907822e-05	7.42473178156439e-06	2	2	1.49307081853788	2.62499661838348
ENSG00000133597	4.28982025653125e-05	0	2	3	1.44537968990303	3.02475592608636
ENSG00000173137	5.00625782227785e-05	0	3	3	3.21347343921113	2.93964376463532
ENSG00000164742	2.6882985086664e-05	1.3441492543332e-05	3	3	2.64847927423208	3.02448692939441
ENSG00000143199	7.66885868210664e-05	0	1	1	0.345359308871603	0.669960998042811
ENSG00000078295	3.70774617696609e-05	6.95202408181142e-06	1	2	0.557792190648717	0.847411377276033
ENSG00000138031	3.96439969077682e-05	2.97329976808262e-05	2	2	1.34729824014048	1.9200028007763
ENSG00000129467	0	0	1	1	0.0291198253218393	0.116736352885535
ENSG00000173175	6.60363199759868e-05	1.80099054479964e-05	2	2	0.603765613837794	1.15917080144179
ENSG00000174233	8.7378216610599e-05	0	2	2	0.780352341748826	0.953010470007434
ENSG00000121281	2.78137038118681e-05	1.39068519059341e-05	1	1	0.515336776460171	0.594000104848952
ENSG00000155897	7.68651324386232e-05	2.3059539731587e-05	1	1	0.0439335871633474	0.0994121985921576
ENSG00000162104	2.45911717693348e-05	3.07389647116685e-05	1	2	0.42168822781014	1.71559826597935
ENSG00000141433	0.000137211855104281	0	1	1	0.151722117985714	0.123815703418339
